commit	date	paths	disposition	reason	decision_threads	evidence_ids
2bcde626ece26c2965192b2067b99528f9997a7f	2026-03-29T12:00:03+02:00	docs/LOCAL_LLM_DISTAGE_APP_MODEL.md;docs/LOCAL_LLM_IZUMI_DISTAGE_BIO_REFERENCE.md	deep	RJ — Full new documents inspected; domain resource ownership and limits on reusable abstractions may affect BeautyQ architecture. The broad BIO material is retained only as governance context, not proof of a BeautyQ-specific migration.	T-01,T-02	E-0001,E-0002,E-0003
b9412ac2195394688f23a0039d41b130876d1eb3	2026-03-29T22:27:31+02:00	docs/LOCAL_LLM_TAPIR_HTTP_REFERENCE.md	deep	RJ — Defines HTTP architectural boundary and normative contract owner; full addition inspected.	T-03	E-0004
bea2a2f701b51f339b23794cc92f9a9cda2d7a65	2026-03-29T23:23:50+02:00	docs/LOCAL_LLM_TAPIR_HTTP_REFERENCE.md	deep	RJ — Changes canonical reuse and documentary derivation ownership; read with the prior complete reference.	T-03	E-0005
5a948ad4bb1cfb8398cc117fe3b46e7dc9654f6e	2026-04-05T14:47:16+02:00	AGENTS.md	deep	RJ — Architectural scope constraints included conservatively as repository governance; no BeautyQ-specific origin is inferred.	T-02,T-04	E-0006
7c5a097bbecabc8ddda4a3ecf5bdfc1974a3e004	2026-04-07T13:20:25+02:00	AGENTS.md	semantic-scan	RJ — Minor context wording in the governance lineage; no new architecture decision inferred.		E-0007
0923836923e341c46a34ca936a2a9e85d0143f6c	2026-04-07T13:22:15+02:00	AGENTS.md	deep	RJ — Small wording deletion changes the explicit scope-control inventory; consequence remains uncertain.	T-04	E-0008
b1fc9e9a46347e4cb0d10dd88ad1de800808ca89	2026-04-07T14:52:57+02:00	AGENTS.md;docs/LOCAL_LLM_TAPIR_HTTP_REFERENCE.md	deep	RJ — Defines documentary/workflow authority; complete before/after changes inspected.	T-04	E-0009
bc0240dd6925bfef378fb75fd13f933f10a16613	2026-04-07T15:31:00+02:00	AGENTS.md	deep	RJ — Refines artifact ownership and failure-record governance.	T-04	E-0010
37fb952d52feb64e2b9712804eeb5720d1d4e038	2026-04-07T16:11:24+02:00	AGENTS.md	deep	RJ — Adds an evidence gate for architectural statements.	T-04	E-0011
e685915ee42cb6ef3d68e8dd4f1769604d6e7ead	2026-04-07T20:01:08+02:00	AGENTS.md	deep	RJ — Introduces a completeness condition for structural retirement decisions.	T-04	E-0012
38fe0a1cccb6d774937694166054846aedf3b384	2026-04-07T20:12:08+02:00	AGENTS.md	clerical	RJ — Inspected equivalent editorial consolidation in the relevant governance lineage.		E-0013
d0ce3bd4fcd6e07bb1d6f6ce046118278086d0ba	2026-04-07T21:01:16+02:00	AGENTS.md	clerical	RJ — Inspected grammar-only change in artifact-report wording.		E-0014
1984eb85ef17069bc0c89636e9600de87a69a47b	2026-04-07T21:14:20+02:00	AGENTS.md	deep	RJ — Adds scope expansion and justification requirements.	T-04	E-0015
3aa2fc90f2515a3e40642be95e076bbce6746156	2026-04-07T21:30:47+02:00	AGENTS.md	deep	RJ — Changes the structural-accounting schema and its removal gate.	T-04	E-0016
e22133fb760c32df72603900d65587015d20850c	2026-04-07T21:47:25+02:00	AGENTS.md	deep	RJ — Changes preliminary inventory from a removal commitment to a conditional planning input.	T-04	E-0017
a8187ce3ed7dd08efc1fd75cb7b58d1ecf77d872	2026-04-07T22:07:41+02:00	AGENTS.md	deep	RJ — Changes requirement strength by workflow stage.	T-04	E-0018
0921726bdeb65e3018396bc67977980691bed1b9	2026-04-07T22:15:56+02:00	AGENTS.md	deep	RJ — Introduces an explicit derived-versus-authoritative documentary boundary.	T-04	E-0019
f5c271e37bb0038a41c945d03421f39499947a85	2026-04-08T12:21:44+02:00	AGENTS.md	deep	RJ — Strengthens evidence/reporting scope, with incidental scratch-location policy.	T-04	E-0020
411433df283ce3fdf1e9e801335ce5ff58406511	2026-04-08T16:58:13+02:00	AGENTS.md	deep	RJ — Refines architectural evidence and mandatory proof requirements.	T-04	E-0021
de13f78ad33a4bf74c2e9f0dc51b2bac4b0bdf72	2026-04-08T22:02:02+02:00	AGENTS.md	semantic-scan	RJ — Clarifies the existing structural-evidence rule without a new decision.		E-0022
4a03c4970c4a0436cb823af481590e04ef073e7c	2026-04-08T23:47:29+02:00	AGENTS.md	deep	RJ — Material removal/consolidation of governance requirements; deletion does not prove rationale transfer.	T-04	E-0023
3fe487d1a46dcfe37434fa166a4386ec875a5e98	2026-04-09T14:30:16+02:00	AGENTS.md	semantic-scan	RJ — Content-based consolidation; prior and resulting rule sets inspected.	T-04	E-0024
4edcf5d43414e5d58182d4c59f33b8a83b819054	2026-05-27T00:14:13+02:00	AGENTS.md	deep	RJ — Retires a governance owner; destination and rationale are not established by deletion.	T-04	E-0025
919a87de9725571d9bed4148a549d0d5538ff246	2026-06-02T22:35:48+02:00	AGENTS.md	deep	RJ — Recreates governance with explicit product model invariants and consolidated migration/resource policy; full new document read.	T-01,T-02,T-03,T-30	E-0026,E-0027
df986b3b2438501d2447afc80882327ae32ba2b1	2026-06-03T13:30:53+02:00	beautyq_search_eval_plan_v1.md	deep	RJ — Defines product/search result semantics, benchmark purpose, scoring priorities and deferred evaluation goals; complete addition inspected.	T-05	E-0028,E-0029
78585fb8ca29759ce0644bf639092669ec103d1c	2026-06-03T13:45:41+02:00	docs/beautyq-search-dsl-v1.md	deep	RJ — Full new DSL document inspected: canonical semantics, product result assembly, interpreter responsibilities and regression ownership.	T-05,T-06,T-07	E-0030,E-0031
